,mileage,s_max,s_min
220,25.78964113,1,-1
221,33.74499015,1,-1
222,36.08059794,1,-1
223,31.94256272,1,-1
224,38.69954791,1,-1
225,31.2690655,1,-1.003570158
226,32.59535057,1.021340982,-1.000752548
227,36.63940985,1,-0.961561563
228,34.78525376,1,-1
229,34.83130076,1,-0.987548617
230,27.55918286,1.003209325,-1
231,33.24634937,1.003283217,-1
232,33.04082892,1.004373042,-1.00997701
233,27.98448776,1.000197258,-0.968034861
234,35.93018585,1,-1
235,26.32573774,0.966002528,-0.793924284
236,31.03600794,1,-1
237,34.46580443,1,-1
238,31.92895021,1.000263101,-1
239,29.39216804,1.005610068,-1
240,30.47520597,1,-1
241,35.42795449,1,-1
242,33.94437055,1.002136406,-1
243,34.8582419,1,-1
244,41.84155413,1,-1
245,35.71094315,1,-1
246,37.62866202,1.005283115,-1
247,35.88202593,1,-1
248,38.60250524,1,-1
249,36.02732296,1,-1
250,38.38511806,1,-1
251,39.54828301,1,-0.999747786
252,33.6400713,1.002332638,-1
253,35.4845103,1,-1
254,35.70380935,1,-1
255,27.33329381,1,-1
256,28.09501177,1,-1
257,29.31462593,1.007009494,-1.00225731
258,33.83662216,1,-1
259,38.86713578,1,-1.00114059
260,38.49144176,1,-1
261,35.34707228,1,-1
262,32.6910655,1,-1
263,34.88763757,1,-1
264,32.80958123,1.000412757,-1
265,34.17927562,1,-1
266,34.07218345,1,-1
267,38.52176421,1,-1
268,32.2010541,1,-1.013986743
269,36.21563208,1,-1
270,41.3617125,1,-1
271,29.90224416,1,-1
272,31.05927707,1,-1
273,29.9299791,1.000076721,-1.010195281
274,28.42116791,1.001130646,-1
275,34.12847263,1,-1
276,36.61416977,1,-1
277,36.54206683,1,-1
278,27.47917793,1,-1
279,37.03166005,1.002597393,-1
280,32.30953861,1.000374922,-1
281,24.45037865,1,-1
282,33.91517815,1,-1
283,35.8353872,1,-1
284,28.80538379,1,-1
285,25.79062739,1.000269428,-1.004940132
286,28.46379748,1,-1
287,36.26519726,1,-1
288,25.62873185,1,-1
289,26.41579117,1,-1
290,32.61244249,1,-1
291,30.89458815,1,-1
292,39.3135283,1,-1
293,42.77528631,1,-1
294,29.84114986,1,-1.009711768
295,33.09021076,1,-1
296,34.07340545,1,-1
297,37.72215604,1,-1
298,27.10576454,1.00015965,-1.000042526
299,25.08157509,1,-1
300,38.11228228,1,-1
301,37.42806892,1,-1
302,38.14449976,1,-1.02309579
303,35.83138081,1,-1
304,33.49272865,1,-1
305,29.38666306,1,-1.000431661
306,34.90708441,1,-1.009255409
307,35.28055614,1,-1
308,28.27657401,1,-0.999999999
309,25.9929335,1,-1
310,30.97018771,1,-1
311,35.4490257,1,-1
312,31.94327772,1,-1
313,32.52578884,1,-1
314,33.61140137,1,-1
315,42.71639479,1,-1
316,38.43916024,1,-1
317,31.0378125,1,-1
318,25.53501791,1,-1.011241569
319,38.71084961,1,-1
320,35.20544936,1,-1
321,34.06718718,1,-1
322,35.9588052,1,-1
323,38.65220817,1,-1
324,35.54685625,1,-0.999999997
325,33.17229556,1,-1
326,30.12901368,1,-1
327,31.3298769,1,-1.001258353
328,23.48475267,1,-1
329,31.99145123,1.000334254,-1.003042161
330,31.5817345,1,-1.000054137
331,34.11937208,1,-1
332,30.03462162,1,-1.010350288
333,36.19672041,1,-1
334,39.39785139,1,-1
335,31.82382302,1.003017464,-1
336,34.57778777,1,-1
337,33.63469134,1,-1
338,36.97177487,1,-1
339,39.36206805,1,-1
340,37.3281545,1,-0.929267174
341,33.67153624,1,-1
342,26.77933895,1,-1
343,30.76914664,1.007257345,-1
344,39.21533133,1,-1
345,36.47811863,1,-1
346,26.65768638,1.00047815,-1.002364822
347,36.25911412,1,-1.008737055
348,24.72981815,1.000135986,-1.001714825
349,27.23309841,1,-1
350,31.08266195,1,-1
351,33.59155201,1,-1
352,30.83400821,0.985950669,-1
353,31.86230495,1,-1
354,32.17931953,1,-1
355,30.39263762,1,-1.000636063
356,26.3756756,1,-1.055848194
357,28.98537871,1,-1
358,36.22169557,1,-0.984699626
359,28.03435078,1,-1.00011714
360,32.11251751,1,-1
361,27.89014775,1,-1
362,35.35026563,1,-1
363,35.31216678,1,-1
364,29.26747364,1,-1
365,34.61894549,1,-1.014037475
366,33.47881267,1,-1
367,28.79392039,1.011056847,-1
368,34.96054044,1.001730922,-1.000271286
369,28.4126762,1.000307327,-1.000315147
370,36.14061861,1.000192436,-1
371,39.36395552,1,-1
372,26.68322993,1,-1
373,34.26951195,1.011058825,-1
374,38.70543657,1.000053237,-1
375,37.09712781,1,-1.019997007
376,38.03805109,1,-1.000387408
377,34.19197495,1.000448219,-1
378,42.64320705,1.000148124,-1
379,45.82390218,1,-1
380,37.03935028,1,-1.008311286
381,35.24588532,1,-1
382,37.94418086,1,-1
383,34.05986834,1,-1
384,26.75240284,1.000582826,-1
385,30.32219101,1.000404325,-1.016871492
386,35.98117789,1,-1
387,42.86458974,1,-1
388,34.30217816,1,-1
389,20.18850744,1.000574552,-1
390,34.078499,1.000446572,-1.011858373
391,35.54049866,1,-1
392,31.75874019,1,-1
393,20.07960193,1,-1.000030808
394,25.44701022,1,-1
395,25.4177023,1.000057172,-1
396,32.15858284,1,-1
397,34.45290322,1,-1
398,33.18930687,1,-1.013102502
399,29.35973979,1,-1.13431391
400,35.26727168,1,-1.006684695
401,33.47304751,1,-1
402,39.93095056,1,-0.998937192
403,41.37741296,1,-1.002354678
404,36.53065089,1,-1
405,30.69062444,1,-1
406,36.10552861,1.004751106,-1
407,35.58840246,1,-1
408,30.51200174,1,-1
409,29.12036016,1,-1
410,36.3787414,1,-1
411,34.25825836,1,-1
412,27.87572194,1,-1
413,30.81420721,1.000091921,-1
414,31.60997238,1,-1
415,27.57347514,1,-1.123932891
416,28.5957105,0.942423654,-0.77275735
417,39.72154558,1,-1
418,21.35626389,1.038148654,-1
419,33.46507891,1,-1
420,34.9441384,1,-1
421,27.87724227,1,-1
422,28.35401625,1.00008205,-1
423,27.76006855,1,-1.000086771
424,33.93943487,1,-1
425,32.99184358,1,-1
426,34.01400377,1,-0.999998319
427,37.95033703,1,-1
428,29.98374352,1,-1
429,35.019256,1,-1
430,35.44118388,1,-1
431,25.77461999,1,-1
432,27.28053567,1,-1
433,29.53559955,1,-1
434,32.39333107,1,-1
435,30.74367364,1,-1
436,25.54052449,1,-1
437,30.36729544,1,-1
438,31.49330947,1,-1.001076587
439,33.07957805,1,-1
440,30.67615098,1,-1
441,23.00931434,1.000480342,-1
442,33.64146413,1.00608877,-0.999999916
443,33.35359874,1.008357606,-1
444,33.47688317,1,-1
445,35.14035078,1,-1
446,37.72382762,1,-1
447,29.13888833,1,-1.001129346
448,33.383739,1,-1
449,24.1084316,1,-1.00007226
450,38.77406209,1,-1
451,32.41657841,1,-1
452,31.02309525,1,-1
453,34.67828342,1,-1
454,31.86790984,1,-1
455,32.0170023,1,-1
456,30.39592099,1,-1
457,27.25280846,1,-1
458,29.06078727,1,-1
459,29.578299,1,-1
460,30.69811771,1,-1
461,27.1175347,1.008563187,-1
462,31.23558607,1,-1
463,33.2530986,1,-1
464,31.20153303,1,-1
465,22.38088609,1.000780185,-1
466,32.56979015,1,-1
467,28.1283973,1.016051339,-1
468,29.77010663,1,-1.000417229
469,26.79971148,1,-0.999998371
470,27.82834639,1,-1.008894002
471,26.26358529,1,-1
472,27.55267962,1,-1.002744658
473,25.46285247,1.000416302,-1.001544797
474,28.83138727,1,-1
475,30.10182665,1,-0.997079722
476,24.75203421,1,-1
477,30.99502889,1,-1
478,32.44469381,1,-1
479,28.03761335,0.993245355,-1
480,31.21223102,1,-1
481,30.83503654,1,-1
